kospi_ticker,russell_ticker,timelag,counts
000100 KS,SLGC UQ,0.0,1001
000100 KS,SLP UW,0.0,169
000100 KS,SNCE UQ,0.0,358
000100 KS,SNDX UW,0.0,607
000100 KS,SRDX UW,0.0,445
000100 KS,STAA UQ,0.0,424
000100 KS,STOK UW,0.0,2096
000100 KS,STRO UQ,0.0,2100
000100 KS,SUPN UQ,0.0,1301
000100 KS,SWAV UW,0.0,2429
000100 KS,SWTX UW,0.0,561
000100 KS,TALS UQ,0.0,1702
000100 KS,TARS UW,0.0,767
000100 KS,TBPH UQ,0.0,700
000100 KS,TCMD UQ,0.0,18
000100 KS,TGTX UR,0.0,1709
000100 KS,THRD UQ,2.0,153
000100 KS,THRX UW,0.0,8
000100 KS,TIL UW,0.0,165
000100 KS,TKNO UQ,0.0,613
000100 KS,TMCI UW,0.0,299
000100 KS,TMDX UQ,0.0,3270
000100 KS,TNGX UQ,0.0,603
000100 KS,TNON UR,0.0,155
000100 KS,TNYA UW,0.0,969
000100 KS,TOI UR,0.0,256
000100 KS,TSVT UW,0.0,608
000100 KS,TVTX UQ,0.0,455
000100 KS,TWST UW,0.0,2156
000100 KS,TYRA UW,0.0,810
000100 KS,UFPT UR,0.0,1224
000100 KS,USPH UN,0.0,581
000100 KS,UTMD UW,0.0,1610
000100 KS,VBIV UR,0.0,938
000100 KS,VCEL UQ,0.0,1234
000100 KS,VCYT UQ,0.0,802
000100 KS,VERA UQ,0.0,414
000100 KS,VERV UW,0.0,734
000100 KS,VIR UW,0.0,265
000100 KS,VNDA UQ,0.0,309
000100 KS,VRAY UQ,0.0,46
000100 KS,VRDN UR,0.0,393
000100 KS,VREX UW,0.0,279
000100 KS,VTGN UR,0.0,194
000100 KS,VTYX UW,0.0,884
000100 KS,VXRT UR,0.0,766
000100 KS,WGS UW,0.0,902
000100 KS,XERS UW,0.0,1042
000100 KS,XNCR UQ,0.0,3616
000100 KS,YMAB UW,0.0,1108
000100 KS,ZIMV UW,0.0,152
000100 KS,ZNTL UQ,0.0,136
000100 KS,ZYXI UW,0.0,400
003090 KS,A UN,0.0,2451
003090 KS,ABBV UN,0.0,626
003090 KS,ABC UN,0.0,326
003090 KS,ABT UN,0.0,2216
003090 KS,ACHC UW,0.0,2639
003090 KS,AGL UN,0.0,473
003090 KS,ALGN UW,0.0,1174
003090 KS,ALNY UW,0.0,486
003090 KS,AMED UW,0.0,117
003090 KS,AMGN UW,0.0,31
003090 KS,AVTR UN,0.0,3098
003090 KS,AZTA UW,0.0,1495
003090 KS,BAX UN,0.0,781
003090 KS,BDX UN,0.0,3195
003090 KS,BIIB UW,0.0,5390
003090 KS,BIO UN,0.0,3069
003090 KS,BMRN UW,0.0,140
003090 KS,BMY UN,0.0,501
003090 KS,BRKR UW,0.0,4067
003090 KS,BSX UN,0.0,1332
003090 KS,CAH UN,0.0,1019
003090 KS,CERT UW,0.0,432
003090 KS,CHE UN,0.0,155
003090 KS,CI UN,0.0,1230
003090 KS,CNC UN,0.0,2070
003090 KS,COO UN,0.0,2115
003090 KS,CRL UN,0.0,1555
003090 KS,CTLT UN,0.0,1001
003090 KS,CVS UN,0.0,922
003090 KS,DGX UN,0.0,2002
003090 KS,DH UW,0.0,81
003090 KS,DHR UN,0.0,3799
003090 KS,DOCS UN,0.0,361
003090 KS,DVA UN,0.0,989
003090 KS,DXCM UW,0.0,1733
003090 KS,EHAB UN,0.0,298
003090 KS,EHC UN,0.0,3078
003090 KS,ELAN UN,0.0,2329
003090 KS,ELV UN,0.0,2552
003090 KS,ENOV UN,0.0,3411
003090 KS,EW UN,0.0,1310
003090 KS,EXAS UR,0.0,1865
003090 KS,EXEL UW,0.0,427
003090 KS,GEHC UW,8.0,1253
003090 KS,GH UW,0.0,913
003090 KS,GILD UW,0.0,551
003090 KS,GMED UN,0.0,3082
003090 KS,HCA UN,0.0,1309
003090 KS,HOLX UW,0.0,6275
003090 KS,HSIC UW,0.0,2458
003090 KS,HUM UN,0.0,869
003090 KS,HZNP UW,0.0,522
003090 KS,IART UW,0.0,1430
003090 KS,ICUI UW,0.0,3225
003090 KS,IDXX UW,0.0,2686
003090 KS,ILMN UW,0.0,2380
003090 KS,INCY UW,0.0,71
003090 KS,IONS UW,0.0,813
003090 KS,IQV UN,0.0,3279
003090 KS,ISRG UW,0.0,2648
003090 KS,JAZZ UW,0.0,1741
003090 KS,JNJ UN,0.0,414
003090 KS,LH UN,0.0,1928
003090 KS,LLY UN,0.0,484
003090 KS,MASI UW,0.0,686
003090 KS,MCK UN,0.0,90
003090 KS,MDT UN,0.0,1967
003090 KS,MOH UN,0.0,380
003090 KS,MRK UN,0.0,1988
003090 KS,MRNA UW,0.0,562
003090 KS,MRTX UW,0.0,753
003090 KS,MRVI UW,0.0,258
003090 KS,MTD UN,0.0,5088
003090 KS,NBIX UW,0.0,161
003090 KS,NTRA UW,0.0,816
003090 KS,NVAX UW,0.0,722
003090 KS,NVCR UW,0.0,488
003090 KS,NVST UN,0.0,3118
003090 KS,OGN UN,0.0,680
003090 KS,PEN UN,0.0,154
003090 KS,PFE UN,0.0,1534
003090 KS,PINC UW,0.0,117
003090 KS,PODD UW,0.0,930
003090 KS,PRGO UN,0.0,3578
003090 KS,QDEL UW,0.0,813
003090 KS,QGEN UN,0.0,1379
003090 KS,RARE UW,0.0,578
003090 KS,REGN UW,0.0,18
003090 KS,RGEN UW,0.0,936
003090 KS,RMD UN,0.0,3240
003090 KS,RPRX UW,0.0,297
003090 KS,RVTY UN,0.0,4451
003090 KS,SGEN UW,0.0,45
003090 KS,SHC UW,0.0,857
003090 KS,SRPT UW,0.0,557
003090 KS,STE UN,0.0,3459
003090 KS,SYK UN,0.0,2887
003090 KS,SYNH UW,0.0,1258
003090 KS,TDOC UN,0.0,992
003090 KS,TECH UW,0.0,1644
003090 KS,TFX UN,0.0,4036
003090 KS,THC UN,0.0,1215
003090 KS,TMO UN,0.0,2723
003090 KS,TNDM UQ,0.0,700
003090 KS,TXG UW,0.0,983
003090 KS,UHS UN,0.0,1517
003090 KS,UNH UN,0.0,1469
003090 KS,UTHR UW,0.0,30
003090 KS,VEEV UN,0.0,725
003090 KS,VRTX UW,0.0,127
003090 KS,VTRS UW,0.0,2189
003090 KS,WAT UN,0.0,1860
003090 KS,WST UN,0.0,1452
003090 KS,XRAY UW,0.0,2613
003090 KS,ZBH UN,0.0,3222
003090 KS,ZTS UN,0.0,1340
003090 KS,AADI UR,0.0,234
003090 KS,ABCL UW,0.0,1387
003090 KS,ABSI UW,0.0,597
003090 KS,ABUS UW,0.0,1033
003090 KS,ACAD UW,0.0,1026
003090 KS,ACCD UW,0.0,743
003090 KS,ACET UQ,0.0,235
003090 KS,ACLX UW,0.0,285
003090 KS,ACRS UW,0.0,1538
003090 KS,ACRV UQ,40.0,245
003090 KS,ADMA UQ,0.0,1995
003090 KS,ADPT UW,0.0,445
003090 KS,ADUS UW,0.0,269
003090 KS,AFMD UQ,0.0,2883
003090 KS,AGEN UR,0.0,561
003090 KS,AGIO UW,0.0,235
003090 KS,AGTI UN,0.0,395
003090 KS,AHCO UR,0.0,484
003090 KS,AIRS UQ,0.0,1342
