kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,rmse_r,corr_px,distance_px,rmse_px
052690 KS,MLI UN,2183,2183,0.073608487,0.02665739,0.845020211,9.281289621,0.474250992
052690 KS,TGH UN,2183,2183,0.053448913,0.033699342,0.845014334,7.424625636,0.267406268
003550 KS,OC UN,2183,2183,0.144658826,0.020713294,0.844578615,25.1925877,0.748548352
010140 KS,SAVE UN,1407,1407,0.096108017,0.029097053,0.844542039,7.571517208,0.330753566
298050 KS,RUSHA UW,1268,1268,0.107627174,0.027724645,0.843431296,22.63796222,0.849939266
001040 KS,GE UN,2183,2183,0.086214622,0.022331395,0.843429618,6.069789059,0.287432696
298050 KS,SITE UN,1268,1268,0.119741168,0.031170667,0.842976658,13.63441958,0.703578966
298020 KS,EMR UN,1268,1268,0.133950761,0.024903396,0.842845683,26.55582002,0.835548481
298050 KS,DE UN,1268,1268,0.127459048,0.027333812,0.842070352,11.1538343,0.680183637
010620 KS,DE UN,2183,2183,0.160268754,0.024923033,0.841582411,32.2168653,1.153234556
042660 KS,TGI UN,2183,2183,0.117471964,0.034111119,0.841490514,2.141682803,0.1823887
112610 KS,BCC UN,2183,2183,0.09889184,0.031173321,0.841124574,84.75027516,2.075391576
010620 KS,TITN UW,2183,2183,0.103705974,0.031368884,0.840576693,4.005428236,0.355919559
003490 KS,GTLS UN,1324,1324,0.150397132,0.029753108,0.840388982,32.9671838,1.069917849
298020 KS,XYL UN,1268,1268,0.128872562,0.025226186,0.840369744,18.83839122,0.718864651
112610 KS,ALG UN,2183,2183,0.068169288,0.028206158,0.840082692,43.12935973,1.446671315
112610 KS,XYL UN,2183,2183,0.115345649,0.026860898,0.839950291,55.12155853,1.513371416
112610 KS,HEI_A UN,2183,2183,0.071936763,0.028039371,0.839884818,11.48249756,1.339418395
003490 KS,HLIO UN,1326,1326,0.146777857,0.024872445,0.839197227,3.797278272,0.204467609
298050 KS,WM UN,1268,1268,0.107045005,0.024984817,0.839003289,23.08807288,0.843521906
