ranking,sector,ticker1,ticker2,corr_px,corr_r,corr_px**2,corr_r**2,corr**2_sum,name1,name2,corr**2_w_sum
1938,Financials,105560_KS,VCTR_UW,0.513036319,0.461643732,0.263206264,0.213114936,0.4763212,KB Financial Group Inc,"Victory Capital Holdings, Inc. Class A",0.223133202
1939,Consumer Discretionary,CHDN_UW,073240_KS,0.819390393,0.333238817,0.671400617,0.111048109,0.782448725,Churchill Downs Inc,"Kumho Tire Co., Inc",0.223118611
1940,Financials,WSFS_UW,175330_KS,0.830968969,0.325831822,0.690509428,0.106166376,0.796675804,WSFS Financial Corp,"JB Financial Group Co., Ltd",0.223034986
1941,Consumer Discretionary,LOPE_UW,381970_KS,0.684237656,0.402149844,0.46818117,0.161724497,0.629905667,Grand Canyon Education Inc,K Car Co Ltd,0.223015832
1942,Materials,GEF_B_UN,003410_KS,0.633498957,0.422334654,0.401320928,0.17836656,0.579687489,"Greif, Inc Class B","Ssangyong Cement Industrial Co., Ltd",0.222957434
1943,Industrials,009540_KS,PNR_UN,0.719608646,0.38624973,0.517836603,0.149188854,0.667025457,HD Korea Shipbuilding & Offshore Engineering Co Lt,Pentair,0.222918404
1944,Industrials,SP_UW,001120_KS,0.688847003,0.399929482,0.474510194,0.159943591,0.634453785,Sp Plus Corp,LG International Corp,0.222856912
1945,Industrials,IIIN_UN,000120_KS,0.848239004,0.314103343,0.719509407,0.09866091,0.818170317,Insteel Industries Inc,CJ Logistics Corporation,0.222830609
1946,Industrials,DOOR_UN,294870_KS,0.738339987,0.377160084,0.545145936,0.142249729,0.687395665,Masonite International Corp,Hyundai Development Company,0.22282897
1947,Financials,016360_KS,HIFS_UQ,-0.813020618,0.336578036,0.661002526,0.113284774,0.7742873,"Samsung Securities Co.,Ltd",Hingham Institution For Savings,0.222828324
1948,Energy,267250_KS,OVV_UN,0.26583385,0.510733677,0.070667636,0.260848889,0.331516525,"Hyundai Heavy Industries Holdings Co., Ltd",Ovintiv Inc.,0.222812638
1949,Financials,THG_UN,000810_KS,-0.756756761,0.367868596,0.572680795,0.135327304,0.708008099,Hanover Insurance Group Inc,"Samsung Fire & Marine Insurance Co., Ltd",0.222798002
1950,Financials,316140_KS,FBNC_UW,-0.760856053,0.365735805,0.578901933,0.133762679,0.712664612,Woori Financial Group Inc,First Bancorp,0.22279053
1951,Financials,000810_KS,MOFG_UW,-0.786035462,0.352152232,0.617851748,0.124011194,0.741862942,"Samsung Fire & Marine Insurance Co., Ltd",Midwestone Financial Group Inc,0.222779305
1952,Materials,003240_KS,PRM_UN,0.914183959,0.26366547,0.835732311,0.06951948,0.905251791,"Taekwang Industrial Co., Ltd","Perimeter Solutions, SA",0.222762046
1953,Industrials,UPWK_UW,028670_KS,0.845353828,0.315901325,0.714623095,0.099793647,0.814416742,Upwork Inc,"Pan Ocean Co., Ltd",0.222759537
1954,Financials,000810_KS,CNS_UN,-0.75583246,0.36826813,0.571282708,0.135621415,0.706904123,"Samsung Fire & Marine Insurance Co., Ltd",Cohen & Steers Inc,0.222753674
1955,Financials,005830_KS,BLX_UN,0.483973658,0.468864708,0.234230501,0.219834114,0.454064616,"DB Insurance Co., Ltd",Banco Latinoamericano De Comercio,0.222713391
1956,Industrials,028260_KS,CPRT_UW,0.625207133,0.425016472,0.390883959,0.180639002,0.571522961,Samsung C&T Corporation,Copart Inc,0.222687993
1957,Materials,004020_KS,ECVT_UN,0.792001537,0.348474252,0.627266434,0.121434304,0.748700738,Hyundai Steel Company,Ecovyst Inc.,0.22260073
1958,Materials,CTVA_UN,000670_KS,0.82410094,0.329326505,0.679142359,0.108455947,0.787598306,"Corteva, Inc.",Young Poong Corporation,0.222593229
1959,Industrials,MLI_UN,294870_KS,0.576693376,0.441662817,0.33257525,0.195066044,0.527641294,Mueller Industries Inc,Hyundai Development Company,0.222567885
1960,Financials,FISI_UW,024110_KS,-0.688845027,0.399306146,0.474507471,0.159445398,0.63395287,Financial Institutions Inc,Industrial Bank of Korea,0.222457813
1961,Industrials,BRC_UN,028260_KS,-0.385435103,0.490787022,0.148560219,0.240871901,0.38943212,Brady Corp Class A,Samsung C&T Corporation,0.222409565
1962,Consumer Discretionary,CHS_UN,000270_KS,-0.656011811,0.412795864,0.430351496,0.170400425,0.600751921,Chicos FAS Inc,Kia Motors Corporation,0.222390639
1963,Financials,EBTC_UW,016360_KS,-0.883506949,0.287763585,0.780584528,0.082807881,0.863392409,Enterprise Bancorp Inc,"Samsung Securities Co.,Ltd",0.22236321
1964,Financials,UVSP_UW,316140_KS,-0.82121514,0.330651234,0.674394306,0.109330238,0.783724544,Univest Corporation Of Pennsylvania,Woori Financial Group Inc,0.222343052
1965,Financials,000810_KS,CAC_UW,-0.798737991,0.344114025,0.637982378,0.118414462,0.75639684,"Samsung Fire & Marine Insurance Co., Ltd",Camden National Corp,0.222328045
1966,Industrials,078930_KS,AMWD_UW,-0.365619801,0.494455389,0.133677839,0.244486131,0.37816397,GS Holdings Corp,American Woodmark Corp,0.222324473
1967,Industrials,ALSN_UN,336260_KS,-0.61753617,0.427274952,0.381350921,0.182563884,0.563914805,Allison Transmission Holdings Inc,Doosan Fuel Cell Ltd,0.222321291
1968,Financials,024110_KS,SIGI_UW,0.702735593,0.392976484,0.493837314,0.154430517,0.648267831,Industrial Bank of Korea,Selective Insurance Group Inc,0.222311876
1969,Industrials,ALGT_UW,047040_KS,0.614703453,0.428280937,0.377860335,0.183424561,0.561284897,Allegiant Travel,"Daewoo Engineering & Construction Co., Ltd",0.222311716
1970,Industrials,PGTI_UN,006260_KS,0.855081464,0.308344029,0.731164309,0.09507604,0.82624035,PGT Innovations Inc,LS Corp,0.222293694
1971,Financials,AIG_UN,139130_KS,0.321013893,0.502098994,0.10304992,0.2521034,0.355153319,American International Group Inc,"DGB Financial Group Co., LTD",0.222292704
