Ticker,Bloomberg,MySQL,Name_kor,Name,Sector_kor,Sector,Industry_Group,Industry,Sub_Industry,Description
011170,011170 KS,011170_KS,롯데케미칼,Lotte Chemical Corporation,소재,Materials,Materials,Chemicals,Commodity Chemicals,"Lotte Chemical Corporation manufactures a wide range of petrochemical products such as high density polyethylene, polypropylene, and ethylene glycol. The Company's products are used in manufacturing general housewares, pipes, films, fabrics, bottles, containers, and automotive parts."
011200,011200 KS,011200_KS,HMM,"Hyundai Merchant Marine Co.,Ltd",산업재,Industrials,Transportation,Marine Transportation,Marine Transportation,"HMM Company Limited provides container shipping services. The Company offers bulk shipping, marine freight transportation, sea freight water transport, and other related services. HMM also offers courier, express, and tourism development services."
011210,011210 KS,011210_KS,현대위아,HYUNDAI WIA Corporation,임의소비재,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Hyundai Wia Corporation manufactures automobile parts. The Company also produces machine tools, robots, presses, industrial machinery, and aircraft parts."
011780,011780 KS,011780_KS,금호석유,"Kumho Petrochemical Co., Ltd",소재,Materials,Materials,Chemicals,Commodity Chemicals,"Kumho Petrochemical Co., Ltd. manufactures synthetic rubbers, synthetic resins, and rubber chemicals.  The Company's products include styrene butadiene, acrylonitrile butadiene, polystyrene, expandable polystyrene, and antioxidant.  Kumho Petrochemical provides construction, transportation, and financial services through its subsidiaries."
011790,011790 KS,011790_KS,SKC,"SKC Co., Ltd",소재,Materials,Materials,Chemicals,Commodity Chemicals,"SKC Co., Ltd. manufactures a variety of films, including polyester films, silicon coated films, and inkjet films.  The Company also produces chemical products, such as propylene oxide, propylene glycol, and styrene monomer. In addition, SKC provides materials for photovoltaic."
012330,012330 KS,012330_KS,현대모비스,"Hyundai Mobis Co.,Ltd",임의소비재,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Hyundai Mobis Co., Ltd. manufactures and markets automotive parts and equipment such as automotive service components, modules, and systems. The Company also contracts environmental projects including sewage treatment plant and industrial waste water treatment plant construction."
012450,012450 KS,012450_KS,한화에어로스페이스,"Hanwha Aerospace Co., Ltd",산업재,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,"Hanwha Aerospace Co., Ltd. operates as an aircraft parts manufacturing company. The Company produces and sells aircraft gas turbine engine products, aircraft compressors, low pressure turbines, and other products. Hanwha Aerospace markets its products worldwide."
012750,012750 KS,012750_KS,에스원,S-1 Corporation,산업재,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Security & Alarm Services,"S1 Corporation provides security systems services.  The Company installs, maintains, and sells a variety of security systems used in households, businesses, financial institutions, and automobiles.  S1 also provides guarding services, systems integration services, structural safety diagnosis services."
013890,013890 KS,013890_KS,지누스,Zinus Inc,임의소비재,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,"Zinus Inc. wholesales and distributes household furniture. The Company wholesales and distributes bed frames, sofas, platform beds, mattresses, and other related products. Zinus markets its products worldwide."
014680,014680 KS,014680_KS,한솔케미칼,"Hansol Chemical Co., Ltd",소재,Materials,Materials,Chemicals,Specialty Chemicals,"Hansol Chemical Co., Ltd. manufactures and distributes fine chemicals. The Company produces hydrogen peroxide, sodium hydrosulfite, benzoyl peroxide, hitex sb latex, hanbl nb latex, hansphere, flocculant, organic coagulant, retention agents, and fixing agents. Hansol Chemical also produces electronic materials, tapes, paper and environmental products, and specialty gas."
014820,014820 KS,014820_KS,동원시스템즈,Dongwon Systems Corporation,소재,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain","Dongwon Systems Corporation manufactures and distributes containers and packaging products. The Company produces flexible packaging, glass bottles, cans, and other related products. Dongwon Systems also produces industrial films and aluminum foils."
015760,015760 KS,015760_KS,한국전력,Korea Electric Power Corporation,유틸리티,Utilities,Utilities,Electric Utilities,Electric Utilities,"Korea Electric Power Corporation (KEPCO) generates, transmits, and distributes electricity to South Korea for a variety of uses. The Company also builds and operates hydro-power, thermal-power, and nuclear power units in South Korea."
