,last_update_date
ACT_UW,20230601
ACVA_UW,20230601
ADC_UN,20230601
ADEA_UW,20230601
ADMA_UQ,20230601
ADNT_UN,20230601
ADPT_UW,20230601
ADTH_UR,20230601
ADTN_UW,20230601
ADUS_UW,20230601
ADV_UW,20230601
AEIS_UW,20230601
AEL_UN,20230601
AEO_UN,20230601
AEVA_UN,20230601
AFCG_UQ,20230601
AFMD_UQ,20230601
AGEN_UR,20230601
AGIO_UW,20230601
AGM_UN,20230601
AGTI_UN,20230601
AGX_UN,20230601
AGYS_UW,20230601
AHCO_UR,20230601
AHH_UN,20230601
AHT_UN,20230601
AI_UN,20230601
AIN_UN,20230601
AIP_UQ,20230601
AIR_UN,20230601
AIRS_UQ,20230601
AIT_UN,20230601
AIV_UN,20230601
