ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
ATEC UW Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ATEN UN Equity,Information Technology,Software & Services,Software,Systems Software
ATER UR Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
ATEX UR Equity,Communication Services,Telecommunication Services,Diversified Telecommunication,Alternative Carriers
ATGE UN Equity,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
ATHA UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ATI UN Equity,Materials,Materials,Metals & Mining,Steel
ATIP UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ATKR UN Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
ATLC UW Equity,Financials,Financial Services,Consumer Finance,Consumer Finance
ATNI UW Equity,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S
ATO UN Equity,Utilities,Utilities,Gas Utilities,Gas Utilities
ATOM UR Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
ATR UN Equity,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
ATRA UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ATRC UQ Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ATRI UW Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
ATRO UW Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ATSG UW Equity,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
ATUS UN Equity,Communication Services,Media & Entertainment,Media,Cable & Satellite
ATVI UW Equity,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
AUB UN Equity,Financials,Banks,Banks,Regional Banks
AUPH UQ Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AURA UQ Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AVA UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
AVAH UW Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
