kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,corr_px,+,weight,,
034220 KS,LVOX UW,61,61,0.269230288,0.489798269,0.759028556,1.039269212,,
034220 KS,SCWX UW,61,61,0.272152146,0.484507965,0.756660111,1.039226702,,
009150 KS,CNDT UW,61,61,0.264678191,0.496659288,0.761337479,1.0378613,,
005930 KS,AOSL UW,61,61,0.328101515,0.382587082,0.710688597,1.037751723,,
005930 KS,LWLG UR,61,61,0.268083833,0.490333806,0.75841764,1.037641769,,
005930 KS,SPLK UW,61,61,0.31714079,0.401616621,0.71875741,1.037040252,,
006400 KS,LIDR UR,61,61,0.280670606,0.46557568,0.746246285,1.035357283,,
034220 KS,MIR UN,61,61,0.28362026,0.460144184,0.743764444,1.035217374,,
006400 KS,AMSWA UW,61,61,0.294886911,0.434388485,0.729275397,1.029335797,,
018260 KS,TGAN UR,61,61,0.324781298,0.380579615,0.705360913,1.029240072,,
034220 KS,RPD UQ,61,61,0.30740344,0.410037599,0.717441039,1.02735128,,
009150 KS,WDC UW,61,61,0.299831577,0.419534977,0.719366553,1.022965108,,
018260 KS,NCR UN,61,61,0.26476332,0.481979602,0.746742922,1.022354698,,
009150 KS,PAR UN,61,61,0.313613926,0.393652607,0.707266533,1.021773875,,
005930 KS,FORM UW,61,61,0.346184884,0.334278186,0.680463069,1.02087132,,
018260 KS,NSSC UW,61,61,0.293133794,0.429386027,0.722519821,1.020633108,,
018260 KS,KLIC UW,61,61,0.252882932,0.501197375,0.754080307,1.020080081,,
000660 KS,SMAR UN,61,61,0.276713241,0.457047411,0.733760652,1.018662811,,
005930 KS,DOX UW,61,61,0.313690993,0.386105029,0.699796022,1.013865007,,
009150 KS,GLOB UN,61,61,0.33562131,0.345427592,0.681048902,1.012509976,,
011070 KS,HEAR UQ,61,61,0.265501961,0.465196315,0.730698276,1.005856151,,
011070 KS,ADBE UW,61,61,0.298869328,0.404232835,0.703102163,1.004785005,,
018260 KS,FLT UN,61,61,0.291955037,0.416373464,0.708328501,1.004481724,,
011070 KS,MA UN,61,61,0.265771843,0.463393404,0.729165247,1.004449308,,
402340 KS,CVLT UW,61,61,0,0.936808202,0.936808202,1,,
018260 KS,PDFS UW,61,61,0.372073584,0.268030253,0.640103837,0.99981384,,
000660 KS,NVDA UW,61,61,0,0.934991547,0.934991547,0.998060804,,
402340 KS,VNT UN,61,61,0,0.934836727,0.934836727,0.997895541,,
018260 KS,DBX UW,61,61,0.26816943,0.452862271,0.721031701,0.997806805,,
402340 KS,MANH UW,61,61,0,0.934574761,0.934574761,0.997615903,,
402340 KS,DT UN,61,61,0,0.932649647,0.932649647,0.995560933,,
005930 KS,ORCL UN,61,61,0,0.931918082,0.931918082,0.99478002,,
034220 KS,MEI UN,61,61,0.291366689,0.408109412,0.699476101,0.994531669,,
005930 KS,V UN,61,61,0.274562012,0.43463352,0.709195532,0.990610563,,
402340 KS,DELL UN,61,61,0,0.926011485,0.926011485,0.988474997,,
402340 KS,CXT UN,61,61,0,0.923951662,0.923951662,0.986276231,,
034220 KS,SPLK UW,61,61,0.259987422,0.454510013,0.714497435,0.983871138,,
402340 KS,ORCL UN,61,61,0,0.919792753,0.919792753,0.981836785,,
034220 KS,SPNS UW,61,61,0.341431256,0.30343739,0.644868646,0.978831869,,
402340 KS,AKAM UW,61,61,0,0.914725441,0.914725441,0.97642766,,
018260 KS,CMTL UW,61,61,0.352756489,0.280820351,0.63357684,0.976413037,,
006400 KS,IMXI UR,61,61,0.285069771,0.40187202,0.686941791,0.97579492,,
000660 KS,SMCI UW,61,61,0,0.914043774,0.914043774,0.975700012,,
006400 KS,JBL UN,61,61,0.275912121,0.418025344,0.693937465,0.975471844,,
034220 KS,WDC UW,61,61,0.279837579,0.410488173,0.690325753,0.97495599,,
402340 KS,APPF UQ,61,61,0,0.911299756,0.911299756,0.972770898,,
402340 KS,HUBS UN,61,61,0,0.909867326,0.909867326,0.971241844,,
005930 KS,INTU UW,61,61,0.317877546,0.338626511,0.656504057,0.971214415,,
011070 KS,UCTT UW,61,61,0.284885653,0.397685207,0.68257086,0.970972518,,
005930 KS,ON UW,61,61,0.313421004,0.345816543,0.659237546,0.970340999,,
000660 KS,SGH UW,61,61,0,0.909018416,0.909018416,0.970335672,,
034220 KS,FORM UW,61,61,0.269452692,0.423998062,0.693450754,0.969457106,,
011070 KS,AVPT UW,61,61,0,0.907760403,0.907760403,0.9689928,,
011070 KS,ICHR UW,61,61,0.345596102,0.28631244,0.631908542,0.968540686,,
402340 KS,FICO UN,61,61,0,0.904551712,0.904551712,0.96556767,,
402340 KS,APP UW,61,61,0,0.9039961,0.9039961,0.964974579,,
